antecedents,consequents,support,confidence,lift
"co=low, pm2_5=low, precip=med","pm10=low, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, pm10=low","pm2_5=low, precip=med, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low","pm10=low, precip=med, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, no2=low, o3=low, temp=med",pm2_5=low,0.25,1.0,2.6666666666666665
"co=low, o3=low, pm2_5=low, temp=med",no2=low,0.25,1.0,2.6666666666666665
"co=low, no2=low, pm2_5=low, temp=med",o3=low,0.25,1.0,2.6666666666666665
"no2=low, o3=low, pm2_5=low, temp=med",co=low,0.25,1.0,2.6666666666666665
"co=low, no2=low, o3=low","pm2_5=low, temp=med",0.25,1.0,2.6666666666666665
"co=low, o3=low, pm2_5=low","no2=low, temp=med",0.25,1.0,2.6666666666666665
"co=low, no2=low, pm2_5=low","o3=low, temp=med",0.25,1.0,2.6666666666666665
"no2=low, o3=low, pm2_5=low","co=low, temp=med",0.25,1.0,2.6666666666666665
"co=low, humidity=med, no2=low, o3=low",pm2_5=low,0.25,1.0,2.6666666666666665
"co=low, humidity=med, o3=low, pm2_5=low",no2=low,0.25,1.0,2.6666666666666665
"co=low, humidity=med, no2=low, pm2_5=low",o3=low,0.25,1.0,2.6666666666666665
"humidity=med, no2=low, o3=low, pm2_5=low",co=low,0.25,1.0,2.6666666666666665
"co=low, no2=low, o3=low","humidity=med, pm2_5=low",0.25,1.0,2.6666666666666665
"co=low, o3=low, pm2_5=low","humidity=med, no2=low",0.25,1.0,2.6666666666666665
"co=low, no2=low, pm2_5=low","humidity=med, o3=low",0.25,1.0,2.6666666666666665
"no2=low, o3=low, pm2_5=low","co=low, humidity=med",0.25,1.0,2.6666666666666665
"co=low, no2=low, o3=low, wind_speed=med",pm2_5=low,0.25,1.0,2.6666666666666665
"co=low, o3=low, pm2_5=low, wind_speed=med",no2=low,0.25,1.0,2.6666666666666665
"co=low, no2=low, pm2_5=low, wind_speed=med",o3=low,0.25,1.0,2.6666666666666665
"no2=low, o3=low, pm2_5=low, wind_speed=med",co=low,0.25,1.0,2.6666666666666665
"co=low, no2=low, o3=low","pm2_5=low, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, o3=low, pm2_5=low","no2=low, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, no2=low, pm2_5=low","o3=low, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=low, o3=low, pm2_5=low","co=low, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, no2=low, o3=low, precip=med",pm2_5=low,0.25,1.0,2.6666666666666665
"co=low, o3=low, pm2_5=low, precip=med",no2=low,0.25,1.0,2.6666666666666665
"co=low, no2=low, pm2_5=low, precip=med",o3=low,0.25,1.0,2.6666666666666665
"no2=low, o3=low, pm2_5=low, precip=med",co=low,0.25,1.0,2.6666666666666665
"co=low, no2=low, o3=low","pm2_5=low, precip=med",0.25,1.0,2.6666666666666665
"co=low, o3=low, pm2_5=low","no2=low, precip=med",0.25,1.0,2.6666666666666665
"co=low, no2=low, pm2_5=low","o3=low, precip=med",0.25,1.0,2.6666666666666665
"no2=low, o3=low, pm2_5=low","co=low, precip=med",0.25,1.0,2.6666666666666665
"humidity=med, no2=low, o3=low, temp=med",pm2_5=low,0.25,1.0,2.6666666666666665
"humidity=med, no2=low, pm2_5=low, temp=med",o3=low,0.25,1.0,2.6666666666666665
"humidity=med, no2=low, o3=low","pm2_5=low, temp=med",0.25,1.0,2.6666666666666665
"humidity=med, no2=low, pm2_5=low","o3=low, temp=med",0.25,1.0,2.6666666666666665
"no2=low, o3=low, temp=med","humidity=med, pm2_5=low",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, temp=med","humidity=med, o3=low",0.25,1.0,2.6666666666666665
"no2=low, o3=low","humidity=med, pm2_5=low, temp=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low","humidity=med, o3=low, temp=med",0.25,1.0,2.6666666666666665
"no2=low, o3=low, temp=med, wind_speed=med",pm2_5=low,0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, temp=med, wind_speed=med",o3=low,0.25,1.0,2.6666666666666665
"no2=low, o3=low, temp=med","pm2_5=low, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, temp=med","o3=low, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=low, o3=low, wind_speed=med","pm2_5=low, temp=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, wind_speed=med","o3=low, temp=med",0.25,1.0,2.6666666666666665
"no2=low, o3=low","pm2_5=low, temp=med, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low","o3=low, temp=med, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=low, o3=low, precip=med, temp=med",pm2_5=low,0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, precip=med, temp=med",o3=low,0.25,1.0,2.6666666666666665
"no2=low, o3=low, temp=med","pm2_5=low, precip=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, temp=med","o3=low, precip=med",0.25,1.0,2.6666666666666665
"no2=low, o3=low, precip=med","pm2_5=low, temp=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, precip=med","o3=low, temp=med",0.25,1.0,2.6666666666666665
"no2=low, o3=low","pm2_5=low, precip=med, temp=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low","o3=low, precip=med, temp=med",0.25,1.0,2.6666666666666665
"humidity=med, no2=low, o3=low, wind_speed=med",pm2_5=low,0.25,1.0,2.6666666666666665
"humidity=med, no2=low, pm2_5=low, wind_speed=med",o3=low,0.25,1.0,2.6666666666666665
"humidity=med, no2=low, o3=low","pm2_5=low, wind_speed=med",0.25,1.0,2.6666666666666665
"humidity=med, no2=low, pm2_5=low","o3=low, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=low, o3=low, wind_speed=med","humidity=med, pm2_5=low",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, wind_speed=med","humidity=med, o3=low",0.25,1.0,2.6666666666666665
"no2=low, o3=low","humidity=med, pm2_5=low, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low","humidity=med, o3=low, wind_speed=med",0.25,1.0,2.6666666666666665
"humidity=med, no2=low, o3=low, precip=med",pm2_5=low,0.25,1.0,2.6666666666666665
"humidity=med, no2=low, pm2_5=low, precip=med",o3=low,0.25,1.0,2.6666666666666665
"humidity=med, no2=low, o3=low","pm2_5=low, precip=med",0.25,1.0,2.6666666666666665
"humidity=med, no2=low, pm2_5=low","o3=low, precip=med",0.25,1.0,2.6666666666666665
"no2=low, o3=low, precip=med","humidity=med, pm2_5=low",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, precip=med","humidity=med, o3=low",0.25,1.0,2.6666666666666665
"no2=low, o3=low","humidity=med, pm2_5=low, precip=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low","humidity=med, o3=low, precip=med",0.25,1.0,2.6666666666666665
"no2=low, o3=low, precip=med, wind_speed=med",pm2_5=low,0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, precip=med, wind_speed=med",o3=low,0.25,1.0,2.6666666666666665
"no2=low, o3=low, wind_speed=med","pm2_5=low, precip=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, wind_speed=med","o3=low, precip=med",0.25,1.0,2.6666666666666665
"no2=low, o3=low, precip=med","pm2_5=low, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, precip=med","o3=low, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=low, o3=low","pm2_5=low, precip=med, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low","o3=low, precip=med, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, humidity=med, pm2_5=low, temp=med",no2=low,0.25,1.0,2.6666666666666665
"humidity=med, no2=low, pm2_5=low, temp=med",co=low,0.25,1.0,2.6666666666666665
"co=low, humidity=med, pm2_5=low","no2=low, temp=med",0.25,1.0,2.6666666666666665
"humidity=med, no2=low, pm2_5=low","co=low, temp=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, temp=med","humidity=med, no2=low",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, temp=med","co=low, humidity=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low","humidity=med, no2=low, temp=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low","co=low, humidity=med, temp=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, temp=med, wind_speed=med",no2=low,0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, temp=med, wind_speed=med",co=low,0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, temp=med","no2=low, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, temp=med","co=low, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, wind_speed=med","no2=low, temp=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, wind_speed=med","co=low, temp=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low","no2=low, temp=med, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low","co=low, temp=med, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, precip=med, temp=med",no2=low,0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, precip=med, temp=med",co=low,0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, temp=med","no2=low, precip=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, temp=med","co=low, precip=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, precip=med","no2=low, temp=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, precip=med","co=low, temp=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low","no2=low, precip=med, temp=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low","co=low, precip=med, temp=med",0.25,1.0,2.6666666666666665
"co=low, humidity=med, pm2_5=low, wind_speed=med",no2=low,0.25,1.0,2.6666666666666665
"humidity=med, no2=low, pm2_5=low, wind_speed=med",co=low,0.25,1.0,2.6666666666666665
"co=low, humidity=med, pm2_5=low","no2=low, wind_speed=med",0.25,1.0,2.6666666666666665
"humidity=med, no2=low, pm2_5=low","co=low, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, wind_speed=med","humidity=med, no2=low",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, wind_speed=med","co=low, humidity=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low","humidity=med, no2=low, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low","co=low, humidity=med, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, humidity=med, pm2_5=low, precip=med",no2=low,0.25,1.0,2.6666666666666665
"humidity=med, no2=low, pm2_5=low, precip=med",co=low,0.25,1.0,2.6666666666666665
"co=low, humidity=med, pm2_5=low","no2=low, precip=med",0.25,1.0,2.6666666666666665
"humidity=med, no2=low, pm2_5=low","co=low, precip=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, precip=med","humidity=med, no2=low",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, precip=med","co=low, humidity=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low","humidity=med, no2=low, precip=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low","co=low, humidity=med, precip=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, precip=med, wind_speed=med",no2=low,0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, precip=med, wind_speed=med",co=low,0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, wind_speed=med","no2=low, precip=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, precip=med","no2=low, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, wind_speed=med","co=low, precip=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low, precip=med","co=low, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low","no2=low, precip=med, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=low, pm2_5=low","co=low, precip=med, wind_speed=med",0.25,1.0,2.6666666666666665
"humidity=med, o3=low, so2=low, temp=med",pm2_5=low,0.25,1.0,2.6666666666666665
"humidity=med, pm2_5=low, so2=low, temp=med",o3=low,0.25,1.0,2.6666666666666665
"humidity=med, o3=low, so2=low","pm2_5=low, temp=med",0.25,1.0,2.6666666666666665
"humidity=med, pm2_5=low, so2=low","o3=low, temp=med",0.25,1.0,2.6666666666666665
"o3=low, so2=low, temp=med","humidity=med, pm2_5=low",0.25,1.0,2.6666666666666665
"pm2_5=low, so2=low, temp=med","humidity=med, o3=low",0.25,1.0,2.6666666666666665
"o3=low, so2=low","humidity=med, pm2_5=low, temp=med",0.25,1.0,2.6666666666666665
"pm2_5=low, so2=low","humidity=med, o3=low, temp=med",0.25,1.0,2.6666666666666665
"o3=low, so2=low, temp=med, wind_speed=med",pm2_5=low,0.25,1.0,2.6666666666666665
"pm2_5=low, so2=low, temp=med, wind_speed=med",o3=low,0.25,1.0,2.6666666666666665
"o3=low, so2=low, temp=med","pm2_5=low, wind_speed=med",0.25,1.0,2.6666666666666665
"pm2_5=low, so2=low, temp=med","o3=low, wind_speed=med",0.25,1.0,2.6666666666666665
"o3=low, so2=low, wind_speed=med","pm2_5=low, temp=med",0.25,1.0,2.6666666666666665
"pm2_5=low, so2=low, wind_speed=med","o3=low, temp=med",0.25,1.0,2.6666666666666665
"o3=low, so2=low","pm2_5=low, temp=med, wind_speed=med",0.25,1.0,2.6666666666666665
"pm2_5=low, so2=low","o3=low, temp=med, wind_speed=med",0.25,1.0,2.6666666666666665
"o3=low, precip=med, so2=low, temp=med",pm2_5=low,0.25,1.0,2.6666666666666665
"pm2_5=low, precip=med, so2=low, temp=med",o3=low,0.25,1.0,2.6666666666666665
"o3=low, so2=low, temp=med","pm2_5=low, precip=med",0.25,1.0,2.6666666666666665
"pm2_5=low, so2=low, temp=med","o3=low, precip=med",0.25,1.0,2.6666666666666665
"o3=low, precip=med, so2=low","pm2_5=low, temp=med",0.25,1.0,2.6666666666666665
"pm2_5=low, precip=med, so2=low","o3=low, temp=med",0.25,1.0,2.6666666666666665
"o3=low, so2=low","pm2_5=low, precip=med, temp=med",0.25,1.0,2.6666666666666665
"pm2_5=low, so2=low","o3=low, precip=med, temp=med",0.25,1.0,2.6666666666666665
"humidity=med, o3=low, so2=low, wind_speed=med",pm2_5=low,0.25,1.0,2.6666666666666665
"humidity=med, pm2_5=low, so2=low, wind_speed=med",o3=low,0.25,1.0,2.6666666666666665
"humidity=med, o3=low, so2=low","pm2_5=low, wind_speed=med",0.25,1.0,2.6666666666666665
"humidity=med, pm2_5=low, so2=low","o3=low, wind_speed=med",0.25,1.0,2.6666666666666665
"o3=low, so2=low, wind_speed=med","humidity=med, pm2_5=low",0.25,1.0,2.6666666666666665
"pm2_5=low, so2=low, wind_speed=med","humidity=med, o3=low",0.25,1.0,2.6666666666666665
"o3=low, so2=low","humidity=med, pm2_5=low, wind_speed=med",0.25,1.0,2.6666666666666665
"pm2_5=low, so2=low","humidity=med, o3=low, wind_speed=med",0.25,1.0,2.6666666666666665
"humidity=med, o3=low, precip=med, so2=low",pm2_5=low,0.25,1.0,2.6666666666666665
"humidity=med, pm2_5=low, precip=med, so2=low",o3=low,0.25,1.0,2.6666666666666665
"humidity=med, o3=low, so2=low","pm2_5=low, precip=med",0.25,1.0,2.6666666666666665
"humidity=med, pm2_5=low, so2=low","o3=low, precip=med",0.25,1.0,2.6666666666666665
"o3=low, precip=med, so2=low","humidity=med, pm2_5=low",0.25,1.0,2.6666666666666665
"pm2_5=low, precip=med, so2=low","humidity=med, o3=low",0.25,1.0,2.6666666666666665
"o3=low, so2=low","humidity=med, pm2_5=low, precip=med",0.25,1.0,2.6666666666666665
"pm2_5=low, so2=low","humidity=med, o3=low, precip=med",0.25,1.0,2.6666666666666665
"o3=low, precip=med, so2=low, wind_speed=med",pm2_5=low,0.25,1.0,2.6666666666666665
"pm2_5=low, precip=med, so2=low, wind_speed=med",o3=low,0.25,1.0,2.6666666666666665
"o3=low, so2=low, wind_speed=med","pm2_5=low, precip=med",0.25,1.0,2.6666666666666665
"pm2_5=low, so2=low, wind_speed=med","o3=low, precip=med",0.25,1.0,2.6666666666666665
"o3=low, precip=med, so2=low","pm2_5=low, wind_speed=med",0.25,1.0,2.6666666666666665
"pm2_5=low, precip=med, so2=low","o3=low, wind_speed=med",0.25,1.0,2.6666666666666665
"o3=low, so2=low","pm2_5=low, precip=med, wind_speed=med",0.25,1.0,2.6666666666666665
"pm2_5=low, so2=low","o3=low, precip=med, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, humidity=med, o3=low, temp=med",pm2_5=low,0.25,1.0,2.6666666666666665
"co=low, humidity=med, pm2_5=low, temp=med",o3=low,0.25,1.0,2.6666666666666665
"co=low, humidity=med, o3=low","pm2_5=low, temp=med",0.25,1.0,2.6666666666666665
"co=low, humidity=med, pm2_5=low","o3=low, temp=med",0.25,1.0,2.6666666666666665
"co=low, o3=low, temp=med","humidity=med, pm2_5=low",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, temp=med","humidity=med, o3=low",0.25,1.0,2.6666666666666665
"co=low, o3=low","humidity=med, pm2_5=low, temp=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low","humidity=med, o3=low, temp=med",0.25,1.0,2.6666666666666665
"co=low, o3=low, temp=med, wind_speed=med",pm2_5=low,0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, temp=med, wind_speed=med",o3=low,0.25,1.0,2.6666666666666665
"co=low, o3=low, temp=med","pm2_5=low, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, temp=med","o3=low, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, o3=low, wind_speed=med","pm2_5=low, temp=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, wind_speed=med","o3=low, temp=med",0.25,1.0,2.6666666666666665
"co=low, o3=low","pm2_5=low, temp=med, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low","o3=low, temp=med, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, o3=low, precip=med, temp=med",pm2_5=low,0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, precip=med, temp=med",o3=low,0.25,1.0,2.6666666666666665
"co=low, o3=low, temp=med","pm2_5=low, precip=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, temp=med","o3=low, precip=med",0.25,1.0,2.6666666666666665
"co=low, o3=low, precip=med","pm2_5=low, temp=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, precip=med","o3=low, temp=med",0.25,1.0,2.6666666666666665
"co=low, o3=low","pm2_5=low, precip=med, temp=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low","o3=low, precip=med, temp=med",0.25,1.0,2.6666666666666665
"co=low, humidity=med, o3=low, wind_speed=med",pm2_5=low,0.25,1.0,2.6666666666666665
"co=low, humidity=med, pm2_5=low, wind_speed=med",o3=low,0.25,1.0,2.6666666666666665
"co=low, humidity=med, o3=low","pm2_5=low, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, humidity=med, pm2_5=low","o3=low, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, o3=low, wind_speed=med","humidity=med, pm2_5=low",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, wind_speed=med","humidity=med, o3=low",0.25,1.0,2.6666666666666665
"co=low, o3=low","humidity=med, pm2_5=low, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low","humidity=med, o3=low, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, humidity=med, o3=low, precip=med",pm2_5=low,0.25,1.0,2.6666666666666665
"co=low, humidity=med, pm2_5=low, precip=med",o3=low,0.25,1.0,2.6666666666666665
"co=low, humidity=med, o3=low","pm2_5=low, precip=med",0.25,1.0,2.6666666666666665
"co=low, humidity=med, pm2_5=low","o3=low, precip=med",0.25,1.0,2.6666666666666665
"co=low, o3=low, precip=med","humidity=med, pm2_5=low",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, precip=med","humidity=med, o3=low",0.25,1.0,2.6666666666666665
"co=low, o3=low","humidity=med, pm2_5=low, precip=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low","humidity=med, o3=low, precip=med",0.25,1.0,2.6666666666666665
"co=low, o3=low, precip=med, wind_speed=med",pm2_5=low,0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, precip=med, wind_speed=med",o3=low,0.25,1.0,2.6666666666666665
"co=low, o3=low, wind_speed=med","pm2_5=low, precip=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, wind_speed=med","o3=low, precip=med",0.25,1.0,2.6666666666666665
"co=low, o3=low, precip=med","pm2_5=low, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low, precip=med","o3=low, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, o3=low","pm2_5=low, precip=med, wind_speed=med",0.25,1.0,2.6666666666666665
"co=low, pm2_5=low","o3=low, precip=med, wind_speed=med",0.25,1.0,2.6666666666666665
"humidity=med, no2=high, pm10=high, temp=med",pm2_5=high,0.25,1.0,2.6666666666666665
"humidity=med, no2=high, pm2_5=high, temp=med",pm10=high,0.25,1.0,2.6666666666666665
"no2=high, pm10=high, temp=med","humidity=med, pm2_5=high",0.25,1.0,2.6666666666666665
"humidity=med, no2=high, pm10=high","pm2_5=high, temp=med",0.25,1.0,2.6666666666666665
"no2=high, pm2_5=high, temp=med","humidity=med, pm10=high",0.25,1.0,2.6666666666666665
"humidity=med, no2=high, pm2_5=high","pm10=high, temp=med",0.25,1.0,2.6666666666666665
"no2=high, pm10=high","humidity=med, pm2_5=high, temp=med",0.25,1.0,2.6666666666666665
"no2=high, pm2_5=high","humidity=med, pm10=high, temp=med",0.25,1.0,2.6666666666666665
"no2=high, pm10=high, temp=med, wind_speed=med",pm2_5=high,0.25,1.0,2.6666666666666665
"no2=high, pm2_5=high, temp=med, wind_speed=med",pm10=high,0.25,1.0,2.6666666666666665
"no2=high, pm10=high, temp=med","pm2_5=high, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=high, pm10=high, wind_speed=med","pm2_5=high, temp=med",0.25,1.0,2.6666666666666665
"no2=high, pm2_5=high, temp=med","pm10=high, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=high, pm2_5=high, wind_speed=med","pm10=high, temp=med",0.25,1.0,2.6666666666666665
"no2=high, pm10=high","pm2_5=high, temp=med, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=high, pm2_5=high","pm10=high, temp=med, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=high, pm10=high, precip=med, temp=med",pm2_5=high,0.25,1.0,2.6666666666666665
"no2=high, pm2_5=high, precip=med, temp=med",pm10=high,0.25,1.0,2.6666666666666665
"no2=high, pm10=high, temp=med","pm2_5=high, precip=med",0.25,1.0,2.6666666666666665
"no2=high, pm10=high, precip=med","pm2_5=high, temp=med",0.25,1.0,2.6666666666666665
"no2=high, pm2_5=high, temp=med","pm10=high, precip=med",0.25,1.0,2.6666666666666665
"no2=high, pm2_5=high, precip=med","pm10=high, temp=med",0.25,1.0,2.6666666666666665
"no2=high, pm10=high","pm2_5=high, precip=med, temp=med",0.25,1.0,2.6666666666666665
"no2=high, pm2_5=high","pm10=high, precip=med, temp=med",0.25,1.0,2.6666666666666665
"humidity=med, no2=high, pm10=high, wind_speed=med",pm2_5=high,0.25,1.0,2.6666666666666665
"humidity=med, no2=high, pm2_5=high, wind_speed=med",pm10=high,0.25,1.0,2.6666666666666665
"humidity=med, no2=high, pm10=high","pm2_5=high, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=high, pm10=high, wind_speed=med","humidity=med, pm2_5=high",0.25,1.0,2.6666666666666665
"humidity=med, no2=high, pm2_5=high","pm10=high, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=high, pm2_5=high, wind_speed=med","humidity=med, pm10=high",0.25,1.0,2.6666666666666665
"no2=high, pm10=high","humidity=med, pm2_5=high, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=high, pm2_5=high","humidity=med, pm10=high, wind_speed=med",0.25,1.0,2.6666666666666665
"humidity=med, no2=high, pm10=high, precip=med",pm2_5=high,0.25,1.0,2.6666666666666665
"humidity=med, no2=high, pm2_5=high, precip=med",pm10=high,0.25,1.0,2.6666666666666665
"humidity=med, no2=high, pm10=high","pm2_5=high, precip=med",0.25,1.0,2.6666666666666665
"no2=high, pm10=high, precip=med","humidity=med, pm2_5=high",0.25,1.0,2.6666666666666665
"humidity=med, no2=high, pm2_5=high","pm10=high, precip=med",0.25,1.0,2.6666666666666665
"no2=high, pm2_5=high, precip=med","humidity=med, pm10=high",0.25,1.0,2.6666666666666665
"no2=high, pm10=high","humidity=med, pm2_5=high, precip=med",0.25,1.0,2.6666666666666665
"no2=high, pm2_5=high","humidity=med, pm10=high, precip=med",0.25,1.0,2.6666666666666665
"no2=high, pm10=high, precip=med, wind_speed=med",pm2_5=high,0.25,1.0,2.6666666666666665
"no2=high, pm2_5=high, precip=med, wind_speed=med",pm10=high,0.25,1.0,2.6666666666666665
"no2=high, pm10=high, wind_speed=med","pm2_5=high, precip=med",0.25,1.0,2.6666666666666665
"no2=high, pm10=high, precip=med","pm2_5=high, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=high, pm2_5=high, wind_speed=med","pm10=high, precip=med",0.25,1.0,2.6666666666666665
"no2=high, pm2_5=high, precip=med","pm10=high, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=high, pm10=high","pm2_5=high, precip=med, wind_speed=med",0.25,1.0,2.6666666666666665
"no2=high, pm2_5=high","pm10=high, precip=med, wind_speed=med",0.25,1.0,2.6666666666666665
"o3=high, pm10=high, so2=high, temp=med",pm2_5=high,0.25,1.0,2.6666666666666665
"pm10=high, pm2_5=high, so2=high, temp=med",o3=high,0.25,1.0,2.6666666666666665
"o3=high, pm10=high, pm2_5=high, temp=med",so2=high,0.25,1.0,2.6666666666666665
"o3=high, pm2_5=high, so2=high, temp=med",pm10=high,0.25,1.0,2.6666666666666665
"o3=high, pm10=high, so2=high","pm2_5=high, temp=med",0.25,1.0,2.6666666666666665
"pm10=high, pm2_5=high, so2=high","o3=high, temp=med",0.25,1.0,2.6666666666666665
"o3=high, pm10=high, pm2_5=high","so2=high, temp=med",0.25,1.0,2.6666666666666665
"o3=high, so2=high, temp=med","pm10=high, pm2_5=high",0.25,1.0,2.6666666666666665
"o3=high, pm2_5=high, so2=high","pm10=high, temp=med",0.25,1.0,2.6666666666666665
"o3=high, so2=high","pm10=high, pm2_5=high, temp=med",0.25,1.0,2.6666666666666665
"humidity=med, o3=high, pm10=high, so2=high",pm2_5=high,0.25,1.0,2.6666666666666665
"humidity=med, pm10=high, pm2_5=high, so2=high",o3=high,0.25,1.0,2.6666666666666665
"humidity=med, o3=high, pm10=high, pm2_5=high",so2=high,0.25,1.0,2.6666666666666665
"humidity=med, o3=high, pm2_5=high, so2=high",pm10=high,0.25,1.0,2.6666666666666665
"o3=high, pm10=high, so2=high","humidity=med, pm2_5=high",0.25,1.0,2.6666666666666665
"pm10=high, pm2_5=high, so2=high","humidity=med, o3=high",0.25,1.0,2.6666666666666665
"o3=high, pm10=high, pm2_5=high","humidity=med, so2=high",0.25,1.0,2.6666666666666665
"humidity=med, o3=high, so2=high","pm10=high, pm2_5=high",0.25,1.0,2.6666666666666665
