datetime,pm2_5,pm10,o3,no2,so2,co,latitude,longitude,temp,humidity,wind_speed,precip,aqi,population,pop_density_per_km2,pct_elderly,pct_children,respiratory_illness_rate_per_100k,dow,month
2024-08-31 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,8
2024-09-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,9
2024-09-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,9
2024-09-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,,1,9
2024-09-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2,9
2024-09-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,,3,9
2024-09-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,,4,9
2024-09-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,9
2024-09-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,9
2024-09-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,9
2024-09-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,1,9
2024-09-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2,9
2024-09-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,3,9
2024-09-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,4,9
2024-09-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,9
2024-09-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,9
2024-09-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,9
2024-09-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,,1,9
2024-09-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2,9
2024-09-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,3,9
2024-09-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,4,9
2024-09-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,9
2024-09-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,9
2024-09-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,9
2024-09-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,,1,9
2024-09-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2,9
2024-09-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,3,9
2024-09-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,4,9
2024-09-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,9
2024-09-29 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,9
2024-09-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,9
2024-10-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,1,10
2024-10-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2,10
2024-10-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,,3,10
2024-10-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,,4,10
2024-10-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,10
2024-10-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,10
2024-10-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,10
2024-10-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,1,10
2024-10-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2,10
2024-10-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,3,10
2024-10-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,,4,10
2024-10-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,10
2024-10-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,10
2024-10-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,10
2024-10-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,1,10
2024-10-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2,10
2024-10-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,,3,10
2024-10-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,4,10
2024-10-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,10
2024-10-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,10
2024-10-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,10
2024-10-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,,1,10
2024-10-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2,10
2024-10-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,,3,10
2024-10-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,,4,10
2024-10-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,10
2024-10-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,10
2024-10-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,10
2024-10-29 00:00:00+00:00,,,,,,,,,,,,,,,,,,,1,10
2024-10-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2,10
2024-10-31 00:00:00+00:00,,,,,,,,,,,,,,,,,,,3,10
2024-11-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,4,11
2024-11-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,11
2024-11-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,11
2024-11-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,11
2024-11-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,,1,11
2024-11-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2,11
2024-11-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,3,11
2024-11-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,4,11
2024-11-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,11
2024-11-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,11
2024-11-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,11
2024-11-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,1,11
2024-11-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2,11
2024-11-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,3,11
2024-11-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,4,11
2024-11-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,11
2024-11-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,11
2024-11-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,11
2024-11-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,1,11
2024-11-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2,11
2024-11-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,,3,11
2024-11-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,,4,11
2024-11-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,11
2024-11-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,11
2024-11-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,11
